뉴스 식별자,일자,언론사,기고자,제목,통합 분류1,통합 분류2,통합 분류3,사건/사고 분류1,사건/사고 분류2,사건/사고 분류3,인물,위치,기관,키워드,top 50,본문,URL,분석제외 여부
01400401.20231031102123002,20231031,중부매일,이병인 기자,"청양군, '면암 최익현 선생' 추모대제 봉행",지역>충남, 지역>강원, 지역>경남,,,,"최익현,아헌,김용구,이종필,면암,박찬호,모경숙덕,고종황제","유성현,영당,정읍,충청남도,청양군,송암리,면암,청양지역,목면,충남도","사당,을사오적,태인 의병,모덕회,모덕사","청양군,선생,면암,최익현,추모대제,봉행,중부매일,이병,선생,면암,최익현,유족,청양,지역,유림,모덕회,회장,유성현,회원,주민,모덕사,청양군,목면,송암리,慕德祠,선생,면암,최익현,항일,117주년,기념,추모대제,봉행,이날,제향,초헌,이종필,청양군,모덕회장,아헌,유성현,모덕,회장,종헌,박찬호,모덕회,장의,재무,참여,진행,모덕사,제향,대학자,조선,말기,의병장,살신성인,대의,면암,선생,정신,애국,애족,행사,선생,태인,의병,정읍,영당,가을,음력,사당,봉행,모덕사,면암,선생,위패,영정,사당,고종황제,밀지,밀지,사모,모경숙덕,慕卿宿德,글자,이름,충청남도,문화재,자료,지정,모덕사,충남도,문화유산,자료,지정,5월,선생,1900년,봉기,태인,의병,1906년,거주,고택,충남,유형문화유산,지정,1896년,면암,고택,선생,거주지,생전,마지막,거주,을사오적,처단,주장,항일,투쟁,산실,역사,공간,김용구,문화,체육,관광,과장,최익현,선생,가르침,존경,감사,말씀,선비,충의,문화관,조성,선생,정신,유산,보전","면암,모덕사,최익현,청양군,밀지,모덕회,사당,유성현,유림,추모대제,충청남도,제향,태인,문화유산,김용구,영당,종헌,조선,아헌,송암리,충남도","［중부매일 이병인 기자］ 면암 최익현 선생의 유족과 청양지역 유림, 모덕회(회장 유성현) 회원, 주민 등이 지난 30일 청양군 목면 송암리 모덕사(慕德祠)에서 면암 최익현 선생의 항일 거의 117주년을 기념하는 추모대제를 봉행했다. 

이날 제향은 초헌 이종필 청양군 부군수, 아헌 유성현 모덕회장, 종헌 박찬호 모덕회 장의재무의 참여로 진행됐다. 

모..",www.jbnews.com/news/articleView.html?idxno=1412702,
01400701.20231031201604001,20231031,충청투데이,충청투데이,청소년들의 '가을 낭만여행',지역>충북, 지역>충남, 사회>교육_시험,,,,"박시연,이지혜,이영미","춘천시,대치면,서포,중도,강원,경기도,장학회,향교,청양군,용인,춘천,청양,레고랜드","청소년방과후아카데미,구글,청소년상담복지센터,청양군청,청양군청소년문화,문화의집,영농조합,청양고등학교,나눔영농조합,자원,정산고등학교,청소년참여위원회,춘천,청소년운영위원회,한국관광공사,같이가유,현대,청소년운영위원,나눔,청양군청소년재단,복지타운,<충남도립,청양사랑인재육성,영농조합법인,에버랜드,레포,청양군,청양군청소년상담복지센터,청양중학교,청소년 자치기구,의암호,TCI","청소년들,가을,낭만,여행,청소년문화,평상시,강원,지역,제공,문화,관광,체험,기회,춘천,특별,프로그램,청소년,청소년,방과,아카데미,참여,대상,진행,프로그램,한국관광공사,지원,전문적,차별화,여행,프로그램,기획,도시지역,상대적,여행,기회,부족,청양청소년들,경험,기회,일정,춘천시,중도,위치,레고랜드,방문,놀이기구,미니어쳐,레고,브릭,체험,레포츠,무동력,킹카누,의암호,가을,경치,물길,여행,강원,지역,청양,장거리,이동,방문,기회,춘천,특별,추억,이영미,관장,한국관광공사,지원,일정,청소년들,최고,가을,나들이,선사,자원,발굴,연계,협력방안,모색,양질,프로그램,제공,청소년방과후아카데미,청소년,기본법,2항,의거,청소년,건강,방과,생활,향상,종합서비스,관내,초등학교,sim,6학년,중학교,sim,3학년,청소년,대상,프로그램,주중,체험,생활관리,급식,지원,주말,전문,체험,활동,진행,정산고,폭력,학교,학교,청양군청소년상담복지센터,23일,25일,3일,학교폭력예방,캠페인,사과데이,학교,폭력,예방,캠페인,청양중학교,정산고등학교,청양고등학교,학교,전교생,대상,학교,또래상담자,청소년,참여,위원회,청소년,참여,활동,학교폭력,예방,중요성,친구,사과,응원,메시지,상담,친구,학교폭력,공감,고민,쪽지,박시연,센터장,캠페인,캠페인,참여,청소년,관계자,긍정적,마음,전달,의미,지속적,또래,상담자,역할,폭력,학교,학생들,행복,학교,활성화,청양군청소년상담복지센터,위기,청소년,상담,지원,상시,운영,기타,문의사항,청소년상담복지센터,문의,청양고,예방,청소년,학업,중단,DREAM랜드,같이가유&,청양군청소년재단,학교,청소년,지원,센터,청양고등학교,정산고등학교,연계,DREAM,랜드,같이가유,진행,학교밖청소년지원센터,청소년들,학업,중단,위기,청소년,대상,학업,중단,청소년,예방,경기도,용인,소재,에버랜드,프로그램,박시연,센터장,지역,청소년들,학업,중단,위기,청소년,문화체험,감소,학업,스트레스,환경,체험,기회,확대,자신,발견,흥미,욕구,충족,지원,청양고,전통체험,문화재,역사,의미,청양군청소년재단,청소년,문화,지역,문화재,역사,의미,가치,보존,중요성,이해,청양향교,방문,프로그램,전통문화,체험,진행,청소년,청소년,방과,아카데미,참여,대상,향교,주제,진행,프로그램,청양군,문화재,활용,사업,추진,온닮,지원,운영,전통문화,체험,청소년들,눈높이,레크레이션,피아노,연주,구성,호응,경험,향교,방문,화두,디지털,체험,활동,연계,운영,3D펜,활용,청양,전통,상징물,전통문화,현대기술,접목,경험,이영미,관장,지역,문화재,청소년들,관심,디지털,체험,기회,제공,디지털,도구,접근성,향상,융합,사고,자극,계기,청소년방과후아카데미,청소년,기본법,2항,의거,청소년,건강,방과,생활,향상,종합서비스,관내,초등학교,sim,6학년,중학교,sim,3학년,청소년,대상,프로그램,주중,체험,생활관리,급식,지원,주말,전문,체험,활동,진행,충남도립대,가족,계절,요리,청양군청소년재단,청소년,문화,청소년들,건강,성장,영농조합법인,업무협약,청소년,가족,계절,요리,프로그램,진행,청양군,대치면,위치,영농조합법인,건강,농산물,생산,마을기업,지역,청소년,프로그램,진행,청소년들,가족,구성원,원활,상호작용,계절,먹거리,체험,청소년,가족,계절,요리,4회,진행,프로그램,마리네이트,방울토마토,콩포트,블루베리,바질,페스토,고구마,고구마,당고,구기자,구기자,영농조합법인,내달,영농,조합,법인,진행,예정,가족,참가,청소년,모집,정산고,청양군청소년재단,성공,부모,성장,청소년상담복지센터,강당,청양군,복지타운,성공적,부모,성장,부모,교육,개최,부모,교육,엄마,화코칭,엄마,힐링,육아,균형,TCI,기질,성격,심리검사,활용,자녀,심리,상태,공감,3회,부모,자녀,건강,소통,긍정적,형성,부모,성장,진행,7일,아이,엄마,화코칭,주제,강사,지혜,코칭,센터,이지혜,강연,진행,박시연,센터장,부모교육,자녀,소통,정서,유대감,기회,청양군,청소년들,존중,건강,성장,지원,예정,내달,부모,교육,신청,구글,신청,청양군청소년상담복지센터,충남도립대,청소년문화의집,청양,사랑,인재,육성,장학회,장학금,기탁,청양군청소년재단,청소년,문화,청소년,자치,기구,청양사랑,인재,육성,장학회,기부금,전달,사랑,캠페인,사랑,캠페인,청양군청소년문화의집,소속,청소년,운영,위원회,슬기,동아리,대학,서포,터즈,자치,기구,수제,청양,야시장,판매,수익금,전액,기부,청소년,자치,기구,청소년운영위원회,슬기,동아리,대학,서포,터즈,청양군청소년문화,누리집,전화,가능,청양고","청소년들,청양군청소년재단,청양군,청양,장학회,문화재,전통문화,청소년방과후아카데미,영농조합법인,청양고,sim,무동력,청양사랑,또래상담자,이지혜,청양고등학교","청소년문화의집에서는 평상시 접하기 어려운 강원 지역으로의 문화관광체험 기회 제공을 위해 춘천으로 떠나는 특별 프로그램을 실시했다. 

청소년방과후아카데미 참여 청소년을 대상으로 진행된 이번 프로그램은 ‘한국관광공사’의 지원을 받아 보다 전문적이고 차별화된 여행 프로그램으로 기획됐다. 특히 도시지역에 비해 상대적으로 여행 기회가 부족한 청양청소년들에게 뜻..",https://www.cctoday.co.kr/news/articleView.html?idxno=2186659,
01400201.20231030144631002,20231030,대전일보,박대항 기자,청양군 '달빛마켓' 주민과 함께 풍성한 마무리,지역>경남, 지역>충남, 지역>전남,,,,이춘복,"청양읍,칠갑산,청양군,산동지역,청양지역,정산시장,달빛마켓,벼룩시장,충남도","청양사회경제네트워크,상인회,호수마켓,달빛마켓","청양군,달빛,마켓,주민,마무리,청양군,특색,관광,상품,행사,성장,청양군,시장,상인회,체험,마을,주민자치회,지역기업,활력,상권,달빛마켓,군민,특색,시장,일정,마무리,사진,청양군,제공,청양,청양군,시장상인회,체험,마을,주민자치회,지역기업,활력,상권,달빛마켓,군민,특색,시장,일정,마무리,청춘거리,청양군,청양읍,청춘,거리,달빛마켓,시작,칠갑산,동쪽,지역,정산시장,청양시장,별자리,야시장,합동,청춘,거리,청년,행사,합동,청춘,거리,차례,개최,차례,부스,제품,판매,먹거리,체험,벼룩시장,판매,주민,방문,행사,정산,시장,달빛마켓,40여,부스,참여,1500여,방문,생기,청양읍,지역특색행사,산동지역,주민들,호응,2000여,방문,달빛,마켓,별자리,야시장,합동,개최,달빛마켓,감성적,제품,판매,체험,프로그램,제공,야시장,먹거리,공연,유아,어르신,행복,유명,풍선아트,공연,가족,단위,관람,비율,행사장,아이들,웃음,달빛마켓,청양사회경제네트워크,대표,이춘복,주관,청양,지역,사회,경제,대표,행사,호수,마켓,시작,2018년,주민,지구,걸음,구호,행사장,다회용기,사용,비닐,장바구니,이벤트,쿠폰,제공,달빛마켓,충남도,관협치,우수상,관계자,주민,만족,경제,지역,순환,이바지,달빛마켓,지역,특산물,활용,먹거리,소품,강화,특색,관광상품,성장","청양군,달빛마켓,부스,청춘거리,청양읍,행사장,충남도,40여,야시장,청양,청양시장,별자리,정산시장,칠갑산,관광상품,달빛","청양군 시장상인회와 체험 마을, 주민자치회, 지역기업 등이 함께하는 등 활력있는 상권 만들기 '달빛마켓'이 생기 넘치는 군민특색 시장으로 올해 일정을 마무리했다.사진=청양군 제공 [청양]청양군 시장상인회와 체험 마을, 주민자치회, 지역기업 등이 함께하는 등 활력있는 상권 만들기 '달빛마켓'이 생기 넘치는 군민특색 시장으로 올해 일정을 마무리했다. 
 
..",http://www.daejonilbo.com/news/articleView.html?idxno=2093672,
01400401.20231030143229001,20231030,중부매일,이병인 기자,칠갑산천문대 '붉은 단풍 푸른 별' 프로그램 운영,지역>제주, 지역>충남, 지역>강원,,,,김용구,"청양군,칠갑산천문대,목성","칠갑산,천문대,충남,토성,칠갑산천문대","칠갑산천문대,단풍,프로그램,운영,중부매일,이병,청양군,칠갑산천문대,가을,단풍,시작,주말,마지막,단풍,특별프로그램,방문객들,오감,만족,충남,알프스,칠갑산,하늘,자연,단풍,장관,날씨,밤하늘,목성,토성,관람객,탄성,관람객들,보름달,행성들,하늘,스티커,특별,별자리,강연,김용구,문화,체육,관광,과장,하늘,행사,기간,천문대,방문객들,프로그램,제공,유익,특별프로그램,기획,만족감","김용구,관람객들,관람객,칠갑산천문대,방문객,방문객들,특별프로그램,충남,알프스,행성들,보름달,청양군,별자리,칠갑산,천문대,만족감,단풍,프로그램,하늘,특별,행사,기간,마지막,목성,체육,토성,관광,문화,만족,날씨,강연,기획,과장,오감,탄성,행성,유익","［중부매일 이병인 기자］ 청양군 칠갑산천문대가 가을 단풍이 시작된 10월 마지막 주말 '붉은 단풍 푸른 별' 특별프로그램으로 방문객들의 오감을 만족시켰다. 

충남의 알프스라 불리는 칠갑산의 맑은 하늘 아래 아름다운 자연과 울긋불긋한 단풍이 장관을 이루고 날씨까지 좋아 밤하늘에서 밝게 빛나는 달과 목성, 토성이 800여 관람객들의 탄성을 자아냈다. 

..",www.jbnews.com/news/articleView.html?idxno=1412563,
01400401.20231030143229002,20231030,중부매일,이병인 기자,청양군 '달빛마켓' 특색있는 광광상품 성장,지역>경남, 지역>전남, 지역>충남,,,,"이춘복,전창수,김돈곤","청양읍,칠갑산,청양군,청춘거리,청양지역,청양,벼룩시장","주민자치회,청양사회경제네트워크,호수마켓,달빛마켓","청양군,달빛,마켓,특색,광광,상품,성장,중부매일,이병,청양군,군수,김돈곤,청춘거리,청양읍,청춘,거리,행사,달빛,마켓,일정,마무리,차례,달빛마켓,개최,청양,시장,시작,칠갑산,동쪽,지역,정산시장,청양시장,별자리,야시장,합동,청춘,거리,청년,행사,합동,청춘,거리,진행,차례,부스,제품,판매,먹거리,체험,벼룩시장,판매,5천,주민,방문,행사,달빛마켓,시장상인회,체험,마을,주민자치회,지역기업,활력,상권,이바지,달빛마켓,별자리,야시장,합동,개최,달빛마켓,감성적,제품,판매,체험,프로그램,제공,야시장,먹거리,공연,유아,어르신,행복,유명,풍선아트,공연,가족,단위,관람,비율,행사장,아이들,웃음,달빛마켓,청양사회경제네트워크,대표,이춘복,주관,청양,지역,사회,경제,대표,행사,호수,마켓,시작,2018년,주민,지구,걸음,구호,행사장,다회용기,사용,비닐,장바구니,이벤트,쿠폰,제공,전창수,사회,경제과장,주민,만족,경제,지역,순환,이바지,달빛마켓,지역,특산물,활용,먹거리,소품,강화,특색,관광상품,성장","달빛마켓,청춘거리,청양시장,행사장,청양군,야시장,청양,부스,청양읍,전창수,칠갑산,달빛,별자리,장바구니,다회용기,아이들,김돈곤","［중부매일 이병인 기자］ 청양군(군수 김돈곤)이 30일 청양읍 청춘거리에서 열렸던 행사를 끝으로 2023년 '달빛마켓' 일정을 모두 마무리했다. 

모두 다섯 차례 열린 올해 달빛마켓은 4월 청양시장 개최로 시작해 5월 칠갑산 동쪽 지역 최초 정산시장, 6월 청양시장에서 '별자리 야시장'과 합동, 9월 청춘거리에서 청년의 날 행사와 합동, 10월 청춘거..",www.jbnews.com/news/articleView.html?idxno=1412564,
01400601.20231030142826001,20231030,충청일보,이용현 기자,청양군 '달빛마켓' 2023년 모든 일정 마무리,지역>경남, 지역>전남, 지역>충남,,,,이춘복,"청양읍,청양시,칠갑산,정산,청양군,청춘거리,청양시장,충남,청양지역,달빛마켓,벼룩시장,충남도","주민자치회,청양군,청양사회경제네트워크,달빛마켓,달빛마","청양군,달빛,마켓,2023년,일정,마무리,충남,청양군,청춘거리,청양읍,청춘,거리,행사,2023년,달빛마켓&,일정,마무리,30일,차례,달빛마켓,개최,청양,시장,5월,지역,칠갑산,동쪽,정산시장,6월,청양시장,별자리,야시장&,합동,9월,청춘거리,청년,행사,합동,10월,청춘거리,진행,차례,부스,제품,판매,먹거리,체험,벼룩시장,판매,주민,방문,행사,달빛마켓,시장상인회,체험,마을,주민자치회,지역기업,활력,상권,이바지,정산,시장,달빛마켓,40여,부스,참여,1500여,방문,생기,2000여,방문,달빛,마켓,별자리,야시장,합동,개최,달빛마켓,감성적,제품,판매,체험,프로그램,제공,야시장,먹거리,공연,유아,어르신,행복,달빛마켓,청양사회경제네트워크,대표,이춘복,주관,청양,지역,사회,경제,대표,행사,2017년,호수마켓&,시작,2018년,주민,지구,걸음&,구호,행사장,다회용기,사용,비닐,장바구니,이벤트,쿠폰,제공,달빛마켓,충남도,관협치,우수상,관계자,주민,만족,경제,지역,순환,이바지,달빛마켓,지역,특산물,활용,먹거리,소품,강화,특색,관광상품,성장","달빛마켓,부스,청춘거리,야시장,청양,충남도,청양군,40여,달빛,별자리,청양시장,정산시장,청양읍,칠갑산,관광상품,행사장,다회용기,우수상,장바구니,관협치,이춘복,관계자","충남 청양군이 지난 20일 청양읍 청춘거리에서 열렸던 행사를 끝으로 2023년 '달빛마켓' 일정을 모두 마무리했다고 30일 밝혔다. 

모두 다섯 차례 열린 올해 달빛마켓은 △4월 청양시장 개최△5월 칠갑산 동쪽 지역 최초 정산시장△6월 청양시장에서 '별자리 야시장'과 합동△9월 청춘거리에서 청년의 날 행사와 합동△10월 청..",https://www.ccdailynews.com/news/articleView.html?idxno=2236103,
01400201.20231026145216001,20231026,대전일보,박대항 기자,"동영중, 농촌 체험활동 통해 얻은 수익금 취약 계층 지원",지역>충남, 지역>충북, 지역>경남,,,,강준기,"동영중학교,남양면,청양군,청양포도,동영중학교학생",공주농원,"동영중,농촌,체험,활동,수익금,취약,계층,지원,수확물,결실,보람,긍지,청양,청양군,남양면,동영중학교,학생,4월,정성,샤인머스켓,청양군,사회,공동체,특화,단지,마을,고추,문화,비건,페스타,장터,판매,수익금,전액,관내,거주,취약계층,사용,청양군,기탁,행사,참여,학생,4월,청양포,공주농원,방문,비료,봉지,수확,판매,활동,체험,어려움,최선,포도,보람,수확물,판매,보람,긍지,소감,교장,동영중학교,강준기,체험활동,경험,판매,수익금,이웃,기부,기쁨,계기,마련,동영중학교,학생,박수","청양군,동영중학교,수익금,공동체,수확물,남양면,강준기,체험활동,공주농원,샤인머스켓,샤인,청양포,비건,취약계층,머스켓,청양,동영중,판매,보람,학생,체험,활동,문화,고추,농촌,어려움,긍지,계층,취약,지원,방문,비료","[청양]청양군 남양면 동영중학교학생들이 올해 4월부터 정성스럽게 가꾼 샤인머스켓을 청양군 사회적 공동체 특화단지(구, 고추 문화 마을)에서 열린 '비건 페스타' 장터에서 판매, 수익금 전액을 관내 거주하는 취약계층을 위해 사용해 달라며 청양군에 기탁했다. 
 
행사에 참여한 한 학생은 ""올해 4월부터 청양포도 공주농원을 방문하여 비료 주기, 순 따주기,..",http://www.daejonilbo.com/news/articleView.html?idxno=2092990,사용자 분석 제외
01400701.20231026161854001,20231026,충청투데이,윤양수 기자,청년 로컬크리에이터 베이스캠프 조성 합심,지역>충남, 지역>대전, 지역>제주,,,,"김용찬,김돈곤",청양군,"충남도립대학교,행정안전부,청양군,자원,충남도립대","합심,청년,로컬크리에이터,베이스캠프,조성,충남도립대학교,청양군,지역,경제,활력,청년,로컬크리에이터,베이스캠프,조성,김용찬,총장,김돈곤,군수,소통공감실,대학,소통,공감실,베이스캠프,로컬,크리에이터,조성,업무,협약,MOU,체결,이날,협약,행정안전부,고향올래,공모,사업,선정,후속,조치,충남도립대,청양군,대학,학생식당,리모델링,베이스캠프,청년,로컬크리에이터,조성,캠프,공간,로컬크리에이터,육성,구축,창작실,스튜디오,교육,휴게실,회의실,창작랩실,청년,정책,활성,프로그램,운영,체험,교육,관광,축제,프로그램,청양군,투어,패스,연계,프로그램,운영,예정,청년들,홍보,체험,프로그램,기획,운영,지역,특색,관광,자원,발굴,생활,인구,증가,도모,방침,김용찬,총장,김돈곤,군수,협약,지역,사회,창업,문화,예술,분야,확장,발전,중요,역할,공감,김용찬,총장,협약,지역사회,문화,생태,풍요,중요,걸음,기관,협력,베이스캠프,로컬,크리에이터,조성,지역,예술가,창작자,예비창업자들,기회,제공,협약,협력,공동,비전,추구,모범사례,제시,지역사회,문화,생태,긍정적,영향,창업,지역,예술,창작,활동,발전,강조","로컬크리에이터,청양군,베이스캠프,김용찬,지역사회,모범사례,창업자,예비창업자들,고향올래,창작실,회의실,창작자,창작랩실,휴게실,학생식당,충남도립대,행정안전부,공감실,랩실","[충청투데이 윤양수 기자] 충남도립대학교와 청양군이 지역경제 활력 제고를 위한 청년 로컬크리에이터 베이스캠프 조성에 손을 맞잡았다. 

김용찬 총장과 김돈곤 군수는 24일 대학 소통공감실에서 ‘로컬 크리에이터 베이스캠프’ 조성을 위한 업무 협약(MOU)을 체결했다. 

이날 맺은 협약은 행정안전부 고향올래(GO鄕 ALL來)’ 공모 사업에 선정된 데 따른..",https://www.cctoday.co.kr/news/articleView.html?idxno=2186411,
01400351.20231025220030002,20231025,중도일보,조훈희 기자,충남 산림자원연구소 이전 앞 치열해지는 5개 시 군 유치전,지역>충남, 지역>대전, 지역>전남,,,,가세로,"안면도,충남,영호남권,잔미산,충남도 산림자원연구소,보령시,성주산,태안군,임하,금산군,행정부지사,수도권,공주,옥마산,보령,청양군,태안,충남산림자원연구소,공주시,충남권,금산","세종시,충남도청,추진위원회,시의회,산림자원연구소,보령시의회,용역사,태안군,금산IC,금산군,보령,공주시,충남산림자원연구소,평가위,충남도","충남,산림,자원,연구소,치열,5개,유치전,현장,점검,대상지,선정,최종,대상지,평가위,구성,진행,최적지,유치전,집중,홍보,선정,최종,대상지,충남,산림,자원,연구소,유치전,치열,11월,충남도,추진,충남산림자원연구소,후보지,선정,용역,마무리,전망,시군들,최적지,호소,유치전,24일,산림자원연구소,공모,시군,5곳,공주시,보령시,금산군,청양군,태안군,용역사,현장점검,대상지,별개,산림자원연구소,현장점검,진행,서류,검토,용역,범위,대상지,선정,포함,용역,별개,대상지,선정,얘기,용역사,산림자원연구소,현장점검,대상지,참고자료,활용,예정,별도,평가,위원회,구성,최종,대상지,선정,계획,평가,위원회,구성,구성,평가,논의,상황,유치,촉구,본격적,유치전,금산,박범인,금산,군수,기자브리핑,최적지,강조,군수,금산군,공시지가,연구소,사업비,부담,금산IC,인접,수도권,충남권,영호남권,1~2시간,접근,가능,교통,편의,충남,균형,발전,청양군,당위성,유치전,당위성,도내,생태자연,지역,식물원,활용,연구소,조성,획기,단축,사통팔달,교통망,접근성,도정,산림정책,극대화,연계,시너지,극대,낙후,지역,균형발전,시가지,인접,직원,정주,여건,보장,재정적,지원,태안군,태안,사랑,가족사랑,대행사,가세,군수,관내,기관,단체장들,참여,목소리,충남,산림,자원,연구소,유치,태안군,충남,산림,자원,연구소,안면도,유치,추진,위원회,발족,유치,활동,목소리,공주시,지역,균형,발전,취지,강조,유치전,세종시,출범,충남,공주시,산림자원연구소,공주,방안,지역,갈등,최소화,지역균형발전,취지,부합,의견,보령시,충남산림자원연구소,년간,옥마산,잔미산,일원,사업,각종,임업,수행,만큼,보령,임업,최적지,주장,보령시의회,충남도청,보령,충남도,산림,자원,연구소,촉구,한편,당위,홍보,활동,김기영,행정,부지사,시의회,건의문,전달,관계자,용역사,별개,산림자원연구소,현장,자료,용역,최종,대상지,선정,신중","연구소,유치전,충남,대상지,산림자원연구소,최적지,충남산림자원연구소,용역사,시군,충남도,공주시,금산,태안,태안군,충남도청,금산군,위원회,보령시,지역균형발전,보령,청양군,당위성,김기영,시가지","충남 산림자원연구소 이전을 두고 시 군 유치전이 치열해지고 있다.
11월엔 충남도가 추진하고 '충남산림자원연구소 이전 후보지 선정' 용역이 마무리될 것으로 전망되는 가운데, 시군들은 최적지임을 호소하며 유치전을 벌이고 있다.
24일 도에 따르면, 산림자원연구소 이전에 공모에 나선 시군은 5곳으로 공주시, 보령시, 금산군, 청양군, 태안군 등이다. 도는 ..",https://www.joongdo.co.kr/web/view.php?key=20231024010006608,
01400201.20231025160104002,20231025,대전일보,박대항 기자,청양군-충남도립대 '고향 올래' 사업 업무협약,지역>충남, 지역>대전, 지역>전북,,,,"김용찬,김돈곤","청양군,청양군-충남도립대","행정안전부,충남도립대,도립대학교 소통공감실","청양군,충남도립대,고향,올래,사업,업무,협약,체류,생활,인구,확대,신설,충남도립대,스마트,학과,청양군,군수,김돈곤,충남도립대,총장,김용찬,소통공감실,도립,대학교,올래,행정안전부,고향,공모사업,공동,추진,업무협약,사진,청양군,제공,청양,청양군,군수,김돈곤,충남도립대,총장,김용찬,소통공감실,도립,대학교,올래,행정안전부,고향,공모사업,공동,추진,업무협약,행정안전부,추진,사업,체류,생활,인구,확대,지역대학,창출가,지역,가치,로컬,크리에이터,근거지,베이스캠프,조성,사업계획,제출,선정,창출가,지역,가치,지역,자연환경,문화,자산,창의,아이디어,지역자원,활용,사업,가치,창출,사람들,5000만,사업비,충남도립대,학생,식당,창출가들,지역,가치,창출가,거점,공간,개축,창작실,스튜디오,교육실,작업자,아이디어,공유,공간,코워킹,스페이스,휴게실,예정,충남도립대,창출가,지역,가치,창출가,육성,분야,스마트팜,2024년,충남도립대,스마트,학과,신설,미디어,문화,예술,관계자,전문가들,주민들,의견,경청,전국적,손색,창조,공간,조성,인구,청년,정책,연계,계획","충남도립대,청양군,행정안전부,사업비,창출가,스마트팜,소통공감실,5000만,작업자,업무협약,올래,주민들,전문가,전문가들,관계자,창작실,근거지,휴게실,사람들,교육실,김용찬,베이스캠프",청양군(군수 김돈곤)과 충남도립대(총장 김용찬)가 지난 24일 도립대학교 소통공감실에서 행정안전부 '고향 올래(GO鄕 ALL來)' 공모사업의 공동 추진을 위한 업무협약을 맺었다사진=청양군 제공 [청양]청양군(군수 김돈곤)과 충남도립대(총장 김용찬)가 지난 24일 도립대학교 소통공감실에서 행정안전부 '고향 올래(GO鄕 ALL來)' 공모사업의 공동 추진을 ..,http://www.daejonilbo.com/news/articleView.html?idxno=2092758,사용자 분석 제외
01400201.20231025155547001,20231025,대전일보,박대항 기자,"청양군, 플라스틱 조화 줄이는 생화 나눔 캠페인",지역>충남, 지역>전남, 지역>대전,,,,김돈곤,"청양군,청양지역,화성면,수정리",청양군,"청양군,플라스틱,조화,생화,캠페인,추모,문화,정착,최선,청양군,화성면,수정리,소재,추모,공원,방문객들,대상,사용,플라스틱,제품,생화,캠페인,전개,사진,청양군,제공,청양,청양군,화성면,수정리,소재,추모,공원,방문객들,대상,사용,플라스틱,제품,생화,캠페인,전개,이날,캠페인,플라스틱,정책,일환,탄소중립,악영향,일회용품,플라스틱,사용,확산,추모,문화,도모,마련,25일,청양지역,발생,폐기량,플라스틱,조화,20톤,처리,처리,탄소,배출량,55톤,플라스틱,조화,3개월,방치,미세플라스틱,발생,대기,토양,오염,유발,전환,플라스틱,사회,1회,용품,청사,플라스틱,캠페인,탄소,중립,실천,노력,김돈곤,군수,청양군,탄소,중립,실현,홍보,플라스틱,사용,플라스틱,조화,캠페인,진행,추모,문화,정착,노력","청양군,탄소중립,청양,화성면,3개월,배출량,청양지역,방문객,방문객들,수정리,1회,미세플라스틱,악영향,일회용품,20톤,55톤,폐기량,플라스틱,캠페인,탄소,조화,추모,발생,처리","청양군이 지난 24일 화성면 수정리 소재 추모 공원에서 방문객들을 대상으로 플라스틱 제품 사용을 줄이기 위한 생화 나눔 캠페인을 전개했다.사진=청양군 제공 [청양]청양군이 지난 24일 화성면 수정리 소재 추모 공원에서 방문객들을 대상으로 플라스틱 제품 사용을 줄이기 위한 생화 나눔 캠페인을 전개했다. 
 
이날 캠페인은 탈 플라스틱 정책 일환으로 탄소중..",http://www.daejonilbo.com/news/articleView.html?idxno=2092749,사용자 분석 제외
01400601.20231025155348004,20231025,충청일보,이용현 기자,"청양군, 플라스틱 조화 줄이는 생화 나눔 캠페인",지역>충남, 지역>전남, 지역>대전,,,,김돈곤,"청양군,충남,청양지역,화성면,수정리",청양군,"청양군,플라스틱,조화,생화,캠페인,충남,청양군,화성면,수정리,소재,추모,공원,방문객들,대상,사용,플라스틱,제품,생화,캠페인,전개,이날,캠페인,플라스틱,정책,일환,탄소중립,악영향,일회용품,플라스틱,사용,확산,추모,문화,도모,마련,25일,청양지역,발생,폐기량,플라스틱,조화,20톤,처리,처리,탄소,배출량,55톤,플라스틱,조화,3개월,방치,미세플라스틱,발생,대기,토양,오염,유발,전환,플라스틱,사회,1회,용품,청사,플라스틱&,캠페인,탄소,중립,실천,노력,김돈곤,군수,청양군,탄소,중립,실현,홍보,플라스틱,사용,플라스틱,조화,캠페인,진행,추모,문화,정착,노력","탄소중립,청양군,화성면,3개월,배출량,청양지역,청양,방문객,방문객들,1회,수정리,미세플라스틱,악영향,일회용품,20톤,55톤,충남,폐기량,플라스틱,캠페인,조화,탄소,추모,발생,처리","충남 청양군이 지난 24일 화성면 수정리 소재 추모 공원에서 방문객들을 대상으로 플라스틱 제품 사용을 줄이기 위한 생화 나눔 캠페인을 전개했다. 

이날 캠페인은 탈 플라스틱 정책 일환으로 탄소중립에 악영향을 끼치는 일회용품과 플라스틱 사용을 줄이면서 친환경 추모문화 확산을 도모하기 위해 마련됐다. 

25일 군에 따르면 지난해 청양지역에서 발생한 플라..",https://www.ccdailynews.com/news/articleView.html?idxno=2235142,사용자 분석 제외
